date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
14-Mar-20,2020-03-14,Deceased,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Mar-20,2020-03-15,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Mar-20,2020-03-16,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Mar-20,2020-03-17,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Mar-20,2020-03-18,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Mar-20,2020-03-19,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20-Mar-20,2020-03-20,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Mar-20,2020-03-21,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar-20,2020-03-22,Deceased,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar-20,2020-03-23,Deceased,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-Mar-20,2020-03-24,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25-Mar-20,2020-03-25,Deceased,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar-20,2020-03-26,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar-20,2020-03-27,Deceased,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar-20,2020-03-28,Deceased,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29-Mar-20,2020-03-29,Deceased,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar-20,2020-03-30,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,1
31-Mar-20,2020-03-31,Deceased,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
01-Apr-20,2020-04-01,Deceased,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0
02-Apr-20,2020-04-02,Deceased,14,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
03-Apr-20,2020-04-03,Deceased,14,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
04-Apr-20,2020-04-04,Deceased,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0
05-Apr-20,2020-04-05,Deceased,22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0
06-Apr-20,2020-04-06,Deceased,16,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
07-Apr-20,2020-04-07,Deceased,27,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,12,0,0,6,0,0,1,1,0,0,0,0,1,0,0,0,0
08-Apr-20,2020-04-08,Deceased,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,2
09-Apr-20,2020-04-09,Deceased,46,0,2,0,0,0,0,0,0,3,0,0,2,0,0,1,1,1,0,0,25,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0
10-Apr-20,2020-04-10,Deceased,22,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,12,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
11-Apr-20,2020-04-11,Deceased,40,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,0,17,0,0,4,0,0,0,1,0,6,0,2,1,0,1,0,0
12-Apr-20,2020-04-12,Deceased,42,0,1,0,0,0,0,0,0,5,0,0,2,0,1,1,0,0,0,0,22,0,0,3,0,0,0,0,0,2,0,2,1,0,0,0,2
13-Apr-20,2020-04-13,Deceased,27,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,11,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
14-Apr-20,2020-04-14,Deceased,37,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,18,0,0,3,0,0,0,1,0,0,0,1,1,0,3,0,0
15-Apr-20,2020-04-15,Deceased,27,0,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
16-Apr-20,2020-04-16,Deceased,26,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,1,0,0,7,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,3
17-Apr-20,2020-04-17,Deceased,38,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,0,7,0,0,14,0,0,0,0,0,6,0,0,0,0,1,0,0
18-Apr-20,2020-04-18,Deceased,35,0,2,0,0,1,0,0,0,1,0,0,12,0,0,0,0,1,0,0,10,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2
19-Apr-20,2020-04-19,Deceased,38,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,12,0,0,3,0,0,0,0,0,2,0,3,0,0,3,0,0
20-Apr-20,2020-04-20,Deceased,33,0,3,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,2,0,2,2,0,1,0,0
21-Apr-20,2020-04-21,Deceased,53,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,19,0,0,4,0,0,0,0,0,1,0,0,1,0,3,0,3
22-Apr-20,2020-04-22,Deceased,36,0,2,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23-Apr-20,2020-04-23,Deceased,40,0,3,0,0,0,0,0,0,2,0,0,9,0,0,1,0,0,0,0,14,0,0,3,0,0,0,1,0,1,0,1,2,0,3,0,0
24-Apr-20,2020-04-24,Deceased,59,0,2,0,0,0,0,0,0,3,0,0,15,0,0,0,0,1,1,0,18,0,0,9,0,0,0,0,0,4,0,0,2,0,1,0,3
25-Apr-20,2020-04-25,Deceased,44,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,22,0,0,7,0,0,0,0,0,2,0,0,1,0,2,0,0
26-Apr-20,2020-04-26,Deceased,56,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,19,0,0,4,0,0,0,1,0,7,0,0,1,0,3,0,2
27-Apr-20,2020-04-27,Deceased,58,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,27,0,0,7,0,0,0,1,0,9,0,0,0,0,1,0,0
