dates,dates,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,total,months
2020,3,10,44,0,1,21,15,9,0,120,0,5,74,3,43,1,55,101,241,0,302,0,1,66,1,0,4,42,1,93,0,97,124,0,104,7,37,45.05555555555556,mar
2020,4,23,1359,1,42,404,59,31,0,3395,0,2,4321,37,296,109,559,464,257,0,10196,12,1,2559,0,0,139,438,7,2491,0,941,2199,3,2107,50,721,922.8611111111111,apr
2020,5,0,2168,3,1297,3382,219,458,0,16329,2,64,12399,291,1752,525,1832,2656,772,0,57157,15,69,5464,0,43,1805,1783,62,6247,1,1660,20010,313,5864,850,4743,4173.194444444444,may
2020,6,64,11024,187,6966,6181,147,2360,0,67516,213,1244,15849,622,12457,1855,5051,12021,3173,0,107106,26,1163,5504,159,416,5117,3305,644,9177,87,13641,67834,1077,15417,1974,13058,10906.527777777777,june
2020,7,447,126338,1400,31862,40999,611,6334,0,48238,936,4598,28795,1611,20417,8824,12862,108873,19171,0,247357,770,1387,18213,248,1234,24812,10551,2760,24075,564,46364,155692,3603,61969,4302,51629,31051.277777777777,july
2020,8,2584,293838,2521,68771,85350,3295,22311,0,39150,1218,11505,34997,3552,29767,30317,17339,218308,51771,0,370423,1545,3631,32159,603,2257,71659,37873,10939,39610,1013,61750,182182,6648,144953,12644,92590,55252.02777777778,aug
2020,9,703,258713,5684,71770,46569,7592,82099,0,104967,671,16000,40959,8860,63867,41995,37372,259344,120722,0,591905,3271,4731,64082,975,2213,115583,59894,13133,53599,1279,66423,169561,14087,168668,29173,94271,72798.19444444444,sept
2020,10,497,129864,5056,25540,33858,2480,73668,0,106991,206,10208,35549,7083,38611,18110,19715,221645,236999,0,293960,3765,7519,43312,736,2847,70997,19772,7469,61701,1009,47246,126920,4983,82781,13328,116615,51973.333333333336,oct
2020,11,378,44716,1430,6425,18852,2991,50052,0,183668,78,4337,36836,18459,66916,7390,15439,61485,169877,0,145490,2358,6543,34769,1103,2139,28609,18433,1955,71070,1051,31184,57393,1978,62025,12467,109820,35492.11111111111,nov
2020,12,8,685,0,222,482,128,1893,0,4006,2,161,1477,0,1871,181,454,1330,5375,0,4930,65,0,0,22,23,378,618,0,2347,0,502,1404,31,0,497,3315,900.1944444444445,dec
