dates,dates,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,total,months
2020,3,0,0,0,0,1,0,0,0,2,0,0,6,1,0,0,2,3,2,0,10,0,0,5,0,0,0,4,0,0,0,6,1,0,0,0,3,1.2777777777777777,mar
2020,4,0,31,0,1,1,0,0,0,57,0,0,208,1,4,3,6,19,2,0,448,1,0,133,0,0,1,16,0,58,0,22,26,0,40,0,30,30.77777777777778,apr
2020,5,0,31,0,2,21,4,1,0,414,0,0,824,4,16,2,20,29,6,0,1827,0,0,213,0,0,8,25,0,136,0,54,149,0,177,5,284,118.11111111111111,may
2020,6,0,125,1,8,45,2,12,0,2269,0,3,810,3,216,10,73,197,15,0,5569,0,0,222,0,0,23,99,12,219,0,178,1025,1,480,36,351,333.44444444444446,june
2020,7,5,1162,2,91,230,9,41,0,1221,2,42,592,4,185,91,276,2073,49,0,7139,4,5,295,0,4,182,242,37,267,1,259,2734,20,933,39,913,531.9166666666666,july
2020,8,41,2620,4,208,396,41,223,0,481,0,147,581,24,268,311,326,3388,221,0,9589,5,23,527,0,4,331,1067,179,376,2,308,3387,82,1856,189,1647,801.4444444444445,aug
2020,9,7,1859,9,391,210,106,680,0,917,0,236,431,144,693,296,478,3162,448,0,12079,39,39,922,0,4,350,1953,293,430,34,300,2198,171,2298,342,1730,923.5833333333334,sept
2020,10,6,862,21,233,186,64,1144,0,1150,0,176,266,131,407,171,297,2304,742,0,7249,39,101,635,1,21,478,797,71,421,31,209,1602,69,1241,412,1883,650.5555555555555,oct
2020,11,2,302,17,52,174,51,760,0,2663,0,84,270,323,639,80,216,610,760,0,3240,23,113,309,4,25,419,604,18,405,41,122,590,24,736,208,1583,429.6388888888889,nov
2020,12,0,4,0,0,4,1,31,0,86,0,2,15,0,28,5,8,14,26,0,95,1,0,0,1,0,5,14,0,19,0,3,10,0,0,7,52,11.972222222222221,dec
