dates,dates,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,total,months
2020,3,0,1,0,0,0,0,2,0,6,0,0,5,2,17,0,1,8,24,0,39,0,0,0,0,0,0,1,0,3,0,14,6,0,17,2,3,4.194444444444445,mar
2020,4,16,320,1,29,84,18,34,0,1088,0,7,608,27,217,19,215,221,359,0,1734,0,2,482,0,0,41,103,5,890,0,428,1252,2,534,34,121,246.97222222222223,apr
2020,5,17,2019,0,157,1436,181,78,0,7384,1,37,9306,88,813,237,711,989,207,0,27556,12,9,4360,1,0,1085,1883,20,5139,0,986,11499,171,4292,66,2033,2299.25,may
2020,6,12,4171,61,5462,6024,165,2136,0,49870,81,552,13751,459,8924,1628,3795,6702,1714,0,61582,30,542,5553,121,168,4063,1880,247,8188,51,5866,37317,919,11241,2129,9973,7093.805555555556,june
2020,7,160,57353,856,24710,26106,303,3980,0,62582,643,3615,21238,884,18255,2459,7495,41869,10718,0,165247,173,1136,11876,125,467,15329,6867,1828,15625,181,38094,133882,2235,32779,1937,36244,20756.972222222223,july
2020,8,2433,266662,1967,55101,85922,1764,10759,0,34748,1356,9366,32975,3014,24445,22800,16798,199679,38515,0,317401,947,2641,26386,342,2423,56768,26293,7234,36967,994,47449,184185,4106,123277,9440,85896,48362.583333333336,aug
2020,9,961,298685,4005,60156,50053,7382,64729,0,91768,810,14548,39449,6897,60205,44199,27857,235801,76682,0,514763,2813,4130,56077,1009,1967,108414,56639,12740,46413,997,68096,173678,12236,170275,25427,91489,67537.5,sept
2020,10,492,162872,6069,50436,38186,3738,81361,0,100030,273,12553,38888,7468,40353,24233,30016,271940,212100,0,422031,4231,6402,54745,693,2350,90049,31532,8650,66759,1313,57954,149417,9186,108655,17888,104178,61584.47222222222,oct
2020,11,450,61149,2452,12342,20987,2519,51747,0,180839,96,5262,34702,12710,60106,10596,16677,92613,198389,0,174769,2591,6704,28618,1208,2711,36316,14244,5174,57114,1009,39449,67970,2852,60958,10904,120825,38807.0,nov
2020,12,16,1094,0,135,567,103,2164,0,5036,3,128,1547,0,2461,227,503,886,6151,0,6290,158,0,0,73,108,669,812,0,3007,0,894,1411,34,0,538,3340,1065.4166666666667,dec
